Month_Year,Region,Crop,Rainfall_mm,Temperature_C,Humidity_pct,Soil_pH,Soil_Texture,Soil_Saturation_pct,Land_Size_acres,Past_Yield_tons_acre,Suitable_Crop
01-2018,Coastal,Millet,24.0,26.81,76.58,5.49,Clay Loam,72.7,9.93,0.349,Maize
01-2018,Coastal,Beans,115.66,29.16,77.07,5.54,Sandy,35.8,3.62,0.752,Maize
01-2018,Coastal,Beans,15.28,27.82,81.8,5.86,Clay Loam,59.8,2.18,0.258,Maize
01-2018,Coastal,Beans,0.0,30.72,86.4,5.82,Sandy,29.4,5.22,0.238,Millet
01-2018,Coastal,Beans,84.12,30.25,83.63,6.33,Sandy Loam,41.3,3.79,0.674,Maize
01-2018,Coastal,Maize,143.36,26.85,89.59,5.78,Clay Loam,66.2,7.13,1.131,Maize
01-2018,Coastal,Maize,39.13,30.2,86.95,5.62,Sandy Loam,26.1,5.91,1.211,Maize
01-2018,Coastal,Maize,35.55,24.85,76.54,5.64,Sandy,18.7,2.98,1.113,Maize
01-2018,Coastal,Maize,36.92,27.75,90.43,6.28,Sandy,21.3,8.98,1.748,Maize
01-2018,Coastal,Maize,0.0,31.29,68.26,6.45,Sandy Loam,36.0,9.63,1.042,Millet
01-2018,Coastal,Beans,68.67,29.06,74.08,5.64,Sandy,21.2,6.67,0.852,Maize
01-2018,Coastal,Beans,48.56,28.74,69.92,5.74,Sandy,28.2,6.41,0.905,Maize
01-2018,Coastal,Maize,67.84,24.82,72.26,5.9,Clay Loam,66.8,3.65,1.396,Maize
01-2018,Coastal,Millet,152.89,30.47,68.15,5.04,Sandy,36.8,9.67,0.651,Maize
01-2018,Coastal,Maize,131.85,27.15,77.13,5.65,Sandy,22.9,9.14,1.906,Maize
01-2018,Coastal,Millet,0.0,32.11,87.92,6.0,Sandy,10.1,4.92,0.431,Millet
01-2018,Coastal,Maize,174.14,27.0,74.91,6.45,Sandy,31.4,9.03,1.448,Maize
01-2018,Coastal,Beans,62.55,29.67,81.54,6.51,Sandy Loam,27.2,9.58,1.135,Maize
01-2018,Coastal,Maize,0.0,28.15,77.29,5.98,Clay Loam,74.8,5.46,0.436,Millet
01-2018,Coastal,Beans,0.0,28.27,68.5,5.72,Sandy Loam,28.8,1.78,0.236,Millet
01-2018,Coastal,Maize,64.56,31.35,78.13,7.04,Sandy Loam,39.6,8.04,0.737,Maize
01-2018,Coastal,Millet,29.49,24.77,89.16,5.27,Sandy,22.1,1.79,0.136,Maize
01-2018,Coastal,Maize,86.29,25.55,74.58,6.05,Sandy,5.0,6.68,1.638,Maize
01-2018,Coastal,Maize,58.23,27.27,83.44,7.09,Sandy,23.6,8.4,1.532,Maize
01-2018,Coastal,Millet,59.84,26.34,92.35,6.43,Sandy,21.2,9.35,0.845,Maize
01-2018,North Eastern,Millet,11.22,25.66,30.43,6.24,Sandy,28.6,5.13,0.05,Millet
01-2018,North Eastern,Millet,11.28,36.49,44.75,6.61,Sandy,14.4,7.04,0.188,Millet
01-2018,North Eastern,Millet,0.0,32.48,46.7,7.58,Sandy,19.4,3.47,0.05,Millet
01-2018,North Eastern,Millet,22.43,28.33,34.21,7.01,Sandy,13.9,5.9,0.171,Millet
01-2018,North Eastern,Millet,24.18,26.05,41.63,7.89,Sandy Loam,38.7,6.83,0.466,Millet
01-2018,North Eastern,Millet,24.72,40.54,58.96,7.18,Sandy,19.5,2.49,0.397,Millet
01-2018,North Eastern,Millet,0.0,32.82,27.82,7.72,Sandy,20.9,4.23,0.05,Millet
01-2018,North Eastern,Millet,12.0,31.82,26.12,7.25,Sandy,18.2,8.46,0.05,Millet
01-2018,North Eastern,Millet,21.97,29.74,31.7,7.24,Sandy Loam,27.2,4.92,0.054,Millet
01-2018,North Eastern,Millet,16.62,29.39,27.8,6.88,Sandy Loam,37.0,5.68,0.05,Millet
01-2018,North Eastern,Millet,0.0,36.06,32.29,7.54,Sandy Loam,41.4,7.04,0.05,Millet
01-2018,North Eastern,Millet,7.95,39.23,29.9,7.3,Sandy Loam,36.3,3.39,0.133,Millet
01-2018,North Eastern,Millet,26.44,34.29,33.62,8.12,Sandy,19.7,7.75,0.454,Millet
01-2018,North Eastern,Millet,30.09,33.42,53.37,6.95,Sandy,18.4,4.78,0.176,Millet
01-2018,North Eastern,Millet,48.55,41.95,39.34,6.64,Sandy Loam,31.3,3.27,0.058,Millet
01-2018,North Eastern,Millet,0.0,29.01,24.89,7.02,Sandy Loam,31.0,5.37,0.05,Millet
01-2018,North Eastern,Millet,6.63,30.82,43.99,7.12,Sandy,17.7,5.22,0.377,Millet
01-2018,North Eastern,Millet,14.73,43.12,29.57,7.5,Sandy,31.9,7.96,0.05,Millet
01-2018,North Eastern,Millet,24.06,28.86,38.56,6.83,Sandy,19.4,0.65,0.554,Millet
01-2018,North Eastern,Millet,14.77,32.66,38.48,7.4,Sandy Loam,39.0,2.07,0.197,Millet
01-2018,North Eastern,Millet,15.61,28.68,31.61,7.38,Sandy,29.7,8.07,0.275,Millet
01-2018,North Eastern,Millet,12.87,26.12,32.7,6.96,Sandy Loam,32.5,1.68,0.05,Millet
01-2018,North Eastern,Millet,41.96,33.34,42.17,8.23,Sandy Loam,35.4,0.85,0.42,Millet
01-2018,North Eastern,Millet,16.1,26.46,27.74,6.87,Sandy,20.6,5.54,0.05,Millet
01-2018,North Eastern,Millet,6.08,35.95,54.1,7.66,Sandy Loam,34.9,5.43,0.05,Millet
01-2018,North Eastern,Millet,9.66,38.67,41.32,6.52,Sandy,22.5,2.73,0.194,Millet
01-2018,North Eastern,Millet,21.92,31.35,41.53,6.43,Sandy Loam,53.3,5.29,0.191,Millet
01-2018,North Eastern,Millet,15.58,35.97,45.73,7.3,Sandy,28.3,4.25,0.05,Millet
01-2018,North Eastern,Millet,17.47,28.7,23.61,6.66,Sandy,22.4,1.67,0.411,Millet
01-2018,North Eastern,Millet,9.6,35.83,25.71,7.71,Sandy,34.2,4.01,0.05,Millet
01-2018,North Eastern,Millet,11.65,32.42,29.8,6.79,Sandy Loam,42.1,1.52,0.05,Millet
01-2018,North Eastern,Millet,24.43,34.36,33.66,7.3,Sandy Loam,19.5,6.95,0.244,Millet
01-2018,North Eastern,Millet,31.58,35.94,33.46,8.03,Sandy Loam,36.5,3.87,0.05,Millet
02-2018,Central,Beans,84.21,14.96,70.82,5.77,Sandy Loam,45.5,5.97,1.122,Tea
02-2018,Central,Potatoes,24.58,14.16,63.73,6.86,Clay Loam,52.0,1.67,3.027,Tea
02-2018,Central,Beans,70.82,20.22,70.52,6.82,Clay Loam,71.0,3.71,0.871,Tea
02-2018,Central,Tea,14.4,19.26,62.23,6.82,Loam,48.9,3.52,1.377,Tea
02-2018,Central,Maize,0.0,17.01,67.25,5.76,Clay Loam,65.2,6.12,1.177,Potatoes
02-2018,Central,Maize,91.15,18.53,85.54,5.55,Clay Loam,77.8,1.91,1.576,Tea
02-2018,Central,Potatoes,63.24,16.47,70.3,6.42,Sandy Loam,33.5,9.83,4.912,Tea
02-2018,Central,Tea,3.48,15.51,73.61,6.72,Clay Loam,63.6,4.36,1.788,Potatoes
02-2018,Central,Maize,35.66,16.48,67.36,6.51,Sandy Loam,43.4,6.4,1.49,Tea
02-2018,Central,Maize,58.79,18.39,75.71,5.8,Sandy Loam,50.9,9.5,1.054,Tea
02-2018,Central,Tea,38.69,16.46,63.95,6.5,Loam,55.7,1.63,1.559,Tea
02-2018,Central,Beans,43.66,21.3,69.25,6.63,Sandy Loam,37.5,6.5,0.769,Tea
02-2018,Central,Tea,41.32,14.89,72.17,6.23,Loam,62.2,5.31,2.827,Tea
02-2018,Central,Maize,37.36,20.7,64.89,6.41,Clay Loam,62.9,8.72,2.107,Tea
02-2018,Central,Beans,11.3,13.52,81.08,6.06,Loam,62.0,5.57,0.107,Potatoes
02-2018,Central,Maize,29.9,17.89,66.08,6.6,Clay Loam,79.4,8.49,0.978,Tea
02-2018,Central,Coffee,26.14,20.47,68.57,5.72,Clay Loam,61.6,3.85,1.457,Tea
02-2018,Central,Beans,29.1,13.83,75.68,5.82,Loam,49.2,4.11,0.318,Tea
02-2018,Central,Maize,19.99,15.81,64.7,5.81,Clay Loam,59.8,7.44,1.159,Tea
02-2018,Central,Tea,34.8,19.13,67.27,6.39,Loam,56.0,7.72,1.942,Tea
02-2018,Central,Maize,47.63,15.03,66.8,6.06,Loam,43.7,3.31,1.009,Tea
02-2018,Central,Tea,3.18,18.56,73.64,6.34,Loam,51.4,9.02,2.206,Coffee
02-2018,Central,Maize,73.19,24.21,68.37,6.15,Clay Loam,67.1,8.78,1.887,Tea
02-2018,Central,Tea,79.72,17.07,75.05,5.84,Clay Loam,59.7,6.45,2.528,Tea
02-2018,Central,Coffee,0.0,16.61,54.25,6.4,Loam,53.0,6.85,0.324,Potatoes
02-2018,Central,Tea,44.84,21.38,68.68,5.92,Sandy Loam,45.9,2.62,2.54,Tea
02-2018,Central,Maize,20.92,18.21,73.49,6.36,Clay Loam,76.8,1.35,1.05,Tea
02-2018,Central,Maize,89.19,19.17,75.1,5.46,Loam,48.2,1.41,1.424,Tea
02-2018,Central,Coffee,39.4,13.69,72.29,5.85,Clay Loam,62.4,9.36,1.138,Tea
02-2018,Central,Beans,45.8,15.8,69.06,6.58,Loam,57.5,8.57,1.063,Tea
02-2018,Central,Tea,55.1,18.35,85.69,6.06,Sandy Loam,44.6,2.36,3.197,Tea
02-2018,Central,Beans,64.21,18.84,86.74,5.86,Sandy Loam,42.2,7.08,1.115,Tea
02-2018,Central,Maize,62.14,19.01,66.99,6.59,Clay Loam,51.2,6.01,0.829,Tea
02-2018,Rift Valley,Maize,34.92,22.78,60.83,6.16,Volcanic,55.2,0.87,1.102,Tea
02-2018,Rift Valley,Potatoes,21.81,19.38,66.0,5.61,Clay Loam,62.5,2.27,4.673,Tea
02-2018,Rift Valley,Maize,0.0,17.61,72.73,4.93,Sandy Loam,25.4,6.04,0.05,Tea
02-2018,Rift Valley,Potatoes,0.0,19.54,64.06,5.66,Volcanic,64.2,4.51,3.357,Beans
02-2018,Rift Valley,Potatoes,78.53,19.31,79.19,6.53,Volcanic,53.7,5.56,5.345,Tea
02-2018,Rift Valley,Beans,38.98,24.95,61.34,5.43,Loam,63.8,7.16,0.719,Tea
02-2018,Rift Valley,Wheat,0.0,21.39,41.28,5.39,Sandy Loam,32.4,8.59,0.649,Maize
02-2018,Rift Valley,Tea,49.8,18.18,64.2,6.26,Clay Loam,60.2,5.16,2.547,Tea
02-2018,Rift Valley,Potatoes,73.09,20.32,57.52,5.94,Clay Loam,79.1,1.36,1.871,Tea
02-2018,Rift Valley,Wheat,44.75,24.58,63.82,6.01,Volcanic,56.7,2.23,1.141,Tea
02-2018,Rift Valley,Potatoes,115.96,14.64,53.46,6.09,Clay Loam,51.2,1.53,1.989,Tea
02-2018,Rift Valley,Wheat,48.19,18.2,77.25,6.62,Clay Loam,60.5,6.29,1.537,Tea
02-2018,Rift Valley,Wheat,58.69,24.45,64.6,5.83,Volcanic,51.8,6.34,1.544,Tea
02-2018,Rift Valley,Potatoes,15.92,18.24,55.42,5.5,Volcanic,50.2,1.74,4.956,Tea
02-2018,Rift Valley,Potatoes,25.9,18.36,54.99,5.93,Clay Loam,79.8,9.16,4.1,Tea
02-2018,Rift Valley,Maize,25.9,19.34,77.21,5.72,Loam,57.1,6.42,1.722,Tea
02-2018,Rift Valley,Wheat,63.62,18.0,61.14,5.56,Clay Loam,65.2,4.15,1.894,Tea
02-2018,Rift Valley,Wheat,74.24,18.68,54.4,6.21,Sandy Loam,31.0,1.56,0.864,Tea
02-2018,Rift Valley,Potatoes,22.87,23.74,67.0,5.52,Volcanic,51.3,4.88,1.767,Tea
02-2018,Rift Valley,Maize,62.59,18.0,51.99,6.3,Sandy Loam,34.7,5.0,1.127,Tea
02-2018,Rift Valley,Millet,34.36,19.93,51.26,6.32,Volcanic,51.6,9.0,0.274,Tea
02-2018,Rift Valley,Wheat,49.66,21.75,75.13,6.1,Loam,55.0,3.55,0.997,Tea
02-2018,Rift Valley,Maize,63.38,17.72,53.97,6.69,Clay Loam,80.0,1.65,0.987,Tea
02-2018,Rift Valley,Beans,45.94,23.53,75.67,5.87,Loam,59.0,4.13,0.534,Tea
02-2018,Rift Valley,Maize,0.0,17.46,52.42,6.25,Loam,44.3,9.09,1.528,Potatoes
02-2018,Rift Valley,Beans,50.37,19.64,61.93,5.54,Loam,58.2,1.65,1.234,Tea
02-2018,Rift Valley,Wheat,62.53,17.17,68.18,6.4,Volcanic,63.3,5.89,1.91,Tea
02-2018,Rift Valley,Maize,13.98,21.24,64.08,6.25,Volcanic,58.6,4.82,1.236,Tea
02-2018,Rift Valley,Millet,0.0,22.95,60.0,6.28,Sandy Loam,33.2,4.85,0.05,Maize
02-2018,Rift Valley,Potatoes,85.6,24.52,58.23,5.86,Volcanic,54.6,0.57,4.346,Tea
02-2018,Rift Valley,Millet,12.8,21.15,41.86,6.72,Volcanic,75.3,5.81,0.05,Tea
02-2018,Rift Valley,Wheat,19.99,20.18,62.4,6.61,Sandy Loam,35.6,8.24,1.415,Tea
02-2018,Rift Valley,Maize,62.31,25.38,80.02,5.73,Volcanic,60.5,1.81,0.947,Tea
02-2018,Nyanza,Beans,24.81,22.83,85.3,4.95,Clay Loam,74.4,5.69,0.475,Maize
02-2018,Nyanza,Maize,44.08,23.19,73.91,5.61,Clay,62.8,8.52,1.522,Maize
02-2018,Nyanza,Maize,82.72,21.55,67.01,5.81,Sandy Loam,43.5,5.49,1.628,Maize
02-2018,Nyanza,Beans,58.91,16.21,74.0,6.73,Clay,82.2,5.13,0.608,Maize
02-2018,Nyanza,Beans,57.62,23.81,71.67,4.87,Clay Loam,70.0,3.22,0.517,Maize
02-2018,Nyanza,Maize,64.63,22.42,72.4,7.0,Clay,86.5,3.46,1.383,Maize
02-2018,Nyanza,Millet,83.19,20.94,85.89,6.0,Clay Loam,72.4,4.14,0.752,Maize
02-2018,Nyanza,Beans,114.03,23.34,67.55,4.5,Clay Loam,74.2,6.28,0.921,Maize
02-2018,Nyanza,Maize,8.01,21.72,78.19,5.37,Sandy Loam,26.9,10.0,0.94,Maize
02-2018,Nyanza,Beans,61.97,22.9,76.85,6.21,Sandy Loam,41.2,8.94,1.177,Maize
02-2018,Nyanza,Millet,38.92,21.39,68.96,5.63,Sandy Loam,34.9,2.98,0.614,Maize
02-2018,Nyanza,Beans,73.51,25.85,69.77,5.16,Clay Loam,77.3,3.68,0.705,Maize
02-2018,Nyanza,Beans,99.29,17.45,84.91,5.93,Sandy Loam,37.7,4.05,0.864,Maize
02-2018,Nyanza,Beans,98.08,20.03,68.02,4.83,Clay,81.9,4.92,1.193,Maize
02-2018,Nyanza,Maize,0.0,26.9,77.59,5.69,Clay Loam,80.1,2.17,0.486,Millet
02-2018,Nyanza,Maize,67.49,22.86,68.21,5.14,Clay Loam,71.3,8.44,1.953,Maize
02-2018,Nyanza,Beans,44.94,24.88,59.72,6.04,Clay Loam,68.9,5.56,0.512,Maize
02-2018,Nyanza,Millet,86.93,21.42,69.03,5.36,Clay,81.8,0.91,0.51,Maize
02-2018,Nyanza,Maize,43.35,21.61,66.58,6.11,Sandy Loam,64.4,5.79,1.522,Maize
02-2018,Nyanza,Millet,16.32,21.85,85.54,5.62,Sandy Loam,40.0,9.32,0.05,Maize
02-2018,Nyanza,Beans,6.14,23.12,86.71,5.35,Sandy Loam,22.6,2.14,0.416,Maize
02-2018,Nyanza,Maize,43.36,24.87,78.49,5.21,Clay,92.0,8.24,1.752,Maize
02-2018,Nyanza,Maize,0.0,21.97,72.63,5.49,Sandy Loam,35.3,0.67,0.947,Maize
02-2018,Nyanza,Maize,83.81,23.53,61.96,6.18,Sandy Loam,30.5,2.16,0.889,Maize
02-2018,Nyanza,Beans,126.63,20.64,76.84,5.67,Clay Loam,72.4,8.49,1.128,Maize
02-2018,Nyanza,Maize,0.0,24.44,79.84,5.46,Clay Loam,79.5,0.75,0.88,Maize
02-2018,Nyanza,Maize,35.67,22.84,81.26,4.53,Clay,91.6,1.28,0.703,Maize
02-2018,Nyanza,Millet,43.15,20.94,86.66,4.99,Clay,87.5,1.79,0.32,Maize
02-2018,Nyanza,Maize,63.51,18.27,72.52,5.51,Sandy Loam,32.9,6.55,2.003,Maize
02-2018,Nyanza,Maize,64.24,18.05,76.81,5.99,Sandy Loam,37.9,3.46,1.727,Maize
02-2018,Nyanza,Maize,55.93,24.42,65.48,5.98,Clay Loam,79.8,6.94,1.8,Maize
02-2018,Nyanza,Beans,29.33,21.53,70.76,5.65,Sandy Loam,26.1,8.67,0.369,Maize
02-2018,Nyanza,Beans,52.96,26.53,68.27,5.4,Clay,89.4,6.27,0.877,Maize
02-2018,Western,Maize,81.45,20.73,71.19,5.79,Sandy Loam,38.9,2.42,1.398,Tea
02-2018,Western,Maize,79.42,23.32,77.98,5.4,Sandy Loam,43.5,3.63,1.903,Tea
02-2018,Western,Millet,51.48,18.08,75.68,5.69,Clay Loam,61.5,9.27,0.348,Tea
02-2018,Western,Maize,52.67,22.74,77.17,6.27,Sandy Loam,23.2,4.77,1.593,Tea
02-2018,Western,Maize,5.41,19.15,80.63,4.94,Clay Loam,68.8,3.95,0.892,Tea
02-2018,Western,Maize,87.34,15.93,69.79,5.92,Sandy Loam,42.9,0.83,1.826,Tea
02-2018,Western,Maize,98.33,21.1,76.57,5.29,Sandy Loam,45.7,5.83,0.831,Tea
02-2018,Western,Maize,1.29,18.19,77.45,5.62,Sandy Loam,28.0,0.9,0.612,Tea
02-2018,Western,Maize,68.41,21.39,85.61,5.66,Sandy Loam,18.3,3.15,1.254,Tea
02-2018,Western,Maize,71.89,24.33,90.59,5.88,Clay Loam,68.3,8.09,2.086,Tea
02-2018,Western,Maize,103.26,17.69,76.57,5.61,Clay Loam,80.3,3.5,1.667,Tea
02-2018,Western,Maize,72.87,19.63,79.98,5.78,Loam,58.6,8.36,1.572,Tea
02-2018,Western,Millet,78.74,19.86,88.09,5.73,Loam,50.6,9.8,0.546,Tea
02-2018,Western,Beans,0.0,21.23,66.89,5.79,Clay Loam,65.8,6.42,0.114,Maize
02-2018,Western,Beans,0.0,23.27,84.98,6.39,Clay Loam,58.4,8.71,0.24,Maize
02-2018,Western,Beans,87.88,23.15,87.93,5.39,Loam,52.7,4.73,1.143,Tea
02-2018,Western,Maize,0.0,17.31,84.74,5.84,Loam,39.4,8.18,0.05,Tea
02-2018,Western,Beans,18.23,19.61,82.06,6.01,Clay Loam,64.5,2.86,0.546,Tea
02-2018,Western,Maize,0.0,21.76,77.61,5.95,Loam,48.4,6.83,1.328,Maize
02-2018,Western,Maize,96.01,20.79,68.45,6.1,Sandy Loam,29.7,4.73,1.961,Tea
02-2018,Western,Maize,79.37,21.88,78.93,6.62,Loam,57.1,0.56,1.622,Tea
02-2018,Western,Beans,107.05,20.43,80.54,6.44,Loam,59.3,2.17,0.977,Tea
02-2018,Western,Beans,98.8,25.36,84.38,5.28,Clay Loam,65.6,4.08,1.247,Tea
02-2018,Western,Beans,117.94,19.48,79.02,5.83,Sandy Loam,39.8,8.97,1.35,Tea
02-2018,Western,Millet,50.8,18.85,74.79,6.02,Loam,43.0,3.46,0.572,Tea
02-2018,Western,Beans,33.72,20.43,66.45,6.0,Loam,43.4,5.94,0.523,Tea
02-2018,Western,Millet,7.5,23.89,83.02,6.8,Sandy Loam,31.4,4.72,0.251,Maize
02-2018,Western,Maize,64.76,22.4,83.8,5.64,Clay Loam,61.8,4.6,2.237,Tea
02-2018,Western,Maize,113.06,18.4,84.34,6.49,Clay Loam,65.1,7.83,1.883,Tea
02-2018,Western,Maize,24.83,17.31,81.43,6.18,Clay Loam,78.8,3.95,1.664,Tea
02-2018,Western,Beans,152.01,25.23,68.17,6.09,Sandy Loam,42.0,7.51,1.138,Tea
02-2018,Western,Beans,99.75,22.89,65.57,5.62,Clay Loam,77.1,3.73,0.69,Tea
02-2018,Western,Maize,52.5,20.19,82.7,6.51,Sandy Loam,30.3,5.27,1.922,Tea
02-2018,Eastern,Maize,38.4,21.05,41.6,7.34,Sandy,27.9,8.54,1.208,Maize
02-2018,Eastern,Maize,33.09,25.6,41.01,6.36,Loam,54.5,3.9,1.038,Maize
02-2018,Eastern,Beans,35.83,19.15,43.19,5.71,Loam,55.8,9.12,0.568,Maize
02-2018,Eastern,Maize,13.72,29.87,44.76,6.58,Sandy,24.5,2.52,0.564,Millet
02-2018,Eastern,Millet,33.1,21.68,56.87,6.26,Loam,44.9,7.66,0.432,Maize
02-2018,Eastern,Maize,13.22,33.77,46.97,6.65,Loam,56.4,2.65,0.729,Millet
02-2018,Eastern,Millet,31.29,28.44,52.01,7.35,Sandy,25.2,1.64,0.383,Maize
02-2018,Eastern,Maize,30.16,29.47,66.96,6.65,Loam,62.4,3.22,1.078,Maize
02-2018,Eastern,Maize,89.14,31.74,63.32,6.47,Sandy,18.2,8.86,0.837,Maize
02-2018,Eastern,Beans,50.42,36.56,48.13,7.12,Sandy Loam,40.9,3.85,0.61,Maize
02-2018,Eastern,Beans,56.85,22.4,48.75,6.06,Sandy Loam,37.2,8.0,0.593,Maize
02-2018,Eastern,Millet,33.2,27.76,52.81,6.67,Sandy Loam,43.0,3.22,0.362,Maize
02-2018,Eastern,Beans,12.93,26.8,44.11,6.32,Sandy Loam,29.0,9.07,0.62,Maize
02-2018,Eastern,Maize,0.0,28.35,53.71,5.82,Loam,48.2,1.81,1.326,Millet
02-2018,Eastern,Millet,15.89,22.04,54.36,6.48,Loam,63.7,0.61,0.05,Maize
02-2018,Eastern,Maize,54.63,30.27,62.02,6.73,Sandy,23.4,6.82,1.438,Maize
02-2018,Eastern,Millet,70.33,29.7,42.89,6.61,Loam,58.9,4.56,0.892,Maize
02-2018,Eastern,Maize,25.69,22.57,69.85,5.78,Sandy Loam,38.2,7.83,1.17,Maize
02-2018,Eastern,Millet,0.0,26.8,58.65,5.51,Sandy,26.7,6.35,0.291,Millet
02-2018,Eastern,Beans,0.0,23.73,59.99,6.3,Sandy Loam,52.2,0.65,0.28,Maize
02-2018,Eastern,Beans,27.46,23.12,49.41,6.14,Loam,50.4,9.09,0.635,Maize
02-2018,Eastern,Beans,0.0,21.86,55.6,6.91,Loam,56.5,5.45,0.365,Maize
02-2018,Eastern,Beans,43.59,22.97,48.35,6.71,Loam,55.4,6.57,0.798,Maize
02-2018,Eastern,Beans,59.01,29.12,49.69,5.99,Loam,59.4,4.38,0.709,Maize
02-2018,Eastern,Maize,31.04,25.37,54.53,6.63,Loam,44.8,4.63,1.62,Maize
02-2018,Eastern,Millet,0.0,26.65,60.14,7.47,Sandy Loam,43.6,4.92,0.05,Millet
02-2018,Eastern,Millet,14.56,29.38,53.78,7.63,Sandy,17.9,8.21,0.05,Maize
02-2018,Eastern,Maize,41.44,22.99,61.99,5.68,Sandy Loam,41.9,3.0,1.107,Maize
02-2018,Eastern,Millet,0.0,23.52,51.5,6.02,Sandy,11.8,4.43,0.064,Maize
02-2018,Eastern,Beans,85.56,26.63,39.79,6.3,Sandy,25.3,9.93,0.836,Maize
02-2018,Eastern,Millet,68.58,23.38,54.08,5.27,Sandy Loam,29.6,7.37,0.529,Maize
02-2018,Eastern,Maize,16.96,25.23,45.96,6.78,Sandy Loam,47.3,0.75,1.072,Maize
02-2018,Eastern,Maize,5.42,20.24,59.74,7.78,Loam,49.6,4.54,1.121,Beans
02-2018,Coastal,Millet,86.68,27.36,78.68,5.77,Clay Loam,70.5,9.0,1.029,Maize
02-2018,Coastal,Maize,0.0,26.51,83.89,6.76,Sandy Loam,37.0,3.92,0.964,Millet
02-2018,Coastal,Maize,46.09,25.94,77.86,6.21,Sandy Loam,40.4,6.95,0.77,Maize
02-2018,Coastal,Maize,7.35,27.58,71.85,5.25,Sandy Loam,49.7,2.73,0.913,Millet
02-2018,Coastal,Maize,0.0,27.75,93.75,5.65,Clay Loam,58.5,4.93,0.937,Millet
02-2018,Coastal,Millet,32.79,26.85,78.54,5.64,Clay Loam,74.7,2.25,0.78,Maize
02-2018,Coastal,Beans,15.01,27.24,86.1,5.71,Sandy,17.4,8.9,0.649,Maize
02-2018,Coastal,Millet,0.0,27.36,72.75,6.2,Sandy,5.0,7.68,0.083,Millet
02-2018,Coastal,Maize,81.68,28.42,82.35,6.56,Clay Loam,63.1,1.94,1.427,Maize
02-2018,Coastal,Beans,45.5,27.99,83.21,5.47,Sandy,24.1,2.23,0.208,Maize
02-2018,Coastal,Maize,54.31,26.89,71.05,5.3,Clay Loam,69.2,6.39,1.618,Maize
02-2018,Coastal,Maize,60.27,27.16,80.06,4.68,Clay Loam,48.8,4.36,2.052,Maize
02-2018,Coastal,Maize,0.0,30.39,76.45,4.86,Sandy Loam,28.6,6.66,0.64,Millet
02-2018,Coastal,Millet,36.71,27.9,81.91,6.12,Sandy,5.6,6.43,0.519,Maize
02-2018,Coastal,Maize,19.89,26.05,77.38,6.26,Sandy,30.9,1.79,0.928,Maize
02-2018,Coastal,Maize,6.05,29.54,76.15,5.78,Sandy Loam,37.7,4.69,0.73,Millet
02-2018,Coastal,Beans,47.55,30.99,78.81,5.49,Sandy Loam,28.0,9.59,0.301,Maize
02-2018,Coastal,Beans,103.8,27.13,83.66,6.13,Clay Loam,51.3,1.21,1.246,Maize
02-2018,Coastal,Maize,0.0,28.33,74.43,5.55,Sandy,5.0,6.87,0.369,Millet
02-2018,Coastal,Beans,63.83,28.25,87.41,4.44,Sandy,13.9,5.33,1.063,Maize
02-2018,Coastal,Maize,45.68,26.21,88.98,6.73,Sandy Loam,28.0,1.51,1.926,Maize
02-2018,Coastal,Maize,92.5,27.68,81.26,6.09,Sandy Loam,45.4,3.53,0.736,Maize
02-2018,Coastal,Beans,0.0,26.32,79.32,4.73,Clay Loam,67.0,2.79,0.05,Millet
02-2018,Coastal,Maize,29.3,27.63,75.21,6.39,Sandy,17.7,4.28,0.739,Maize
02-2018,Coastal,Beans,68.3,27.62,78.99,6.56,Sandy Loam,40.6,8.5,0.973,Maize
02-2018,Coastal,Beans,0.0,24.34,84.25,5.97,Sandy,5.0,5.59,0.159,Maize
02-2018,Coastal,Maize,34.38,29.07,97.53,5.73,Clay Loam,78.2,5.63,0.94,Maize
02-2018,Coastal,Maize,28.27,28.69,80.31,6.52,Sandy Loam,36.8,5.05,0.88,Maize
02-2018,Coastal,Maize,93.56,27.96,83.1,6.64,Clay Loam,79.2,0.52,1.444,Maize
02-2018,Coastal,Maize,61.24,30.31,74.02,6.16,Clay Loam,60.5,1.18,1.251,Maize
02-2018,Coastal,Millet,0.0,30.37,80.91,5.01,Sandy,24.9,2.5,0.098,Millet
02-2018,Coastal,Maize,26.32,27.31,75.78,6.31,Sandy,26.0,8.66,0.968,Maize
02-2018,Coastal,Millet,1.15,29.73,73.06,6.31,Sandy,22.8,0.84,0.298,Millet
02-2018,North Eastern,Millet,4.17,35.57,15.47,6.81,Sandy,20.1,7.02,0.05,Millet
02-2018,North Eastern,Millet,26.27,36.72,16.2,7.29,Sandy,26.7,4.41,0.219,Millet
02-2018,North Eastern,Millet,8.52,37.51,19.08,6.99,Sandy Loam,48.6,9.35,0.33,Millet
02-2018,North Eastern,Millet,12.62,29.68,41.11,7.26,Sandy,19.2,6.79,0.262,Millet
02-2018,North Eastern,Millet,0.0,32.31,46.22,7.1,Sandy,19.2,1.56,0.05,Millet
02-2018,North Eastern,Millet,54.77,29.93,33.9,8.17,Sandy,20.5,3.9,0.245,Millet
02-2018,North Eastern,Millet,27.92,25.81,41.82,7.86,Sandy Loam,40.3,5.17,0.126,Millet
02-2018,North Eastern,Millet,15.84,32.95,41.46,7.43,Sandy Loam,35.0,4.56,0.143,Millet
